timestamp,arbitration_id,extended,remote,error,dlc,data
1714010736.691579,0xcfff348,1,0,0,8,BwAAAgkAKgA=
1714010736.701593,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010736.7021782,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010736.7115695,0xcfff048,1,0,0,8,jgcAAOUAhwA=
1714010736.712154,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010736.7215734,0xcfff148,1,0,0,8,vgXvBLMDAP8=
1714010736.7615724,0xcfff048,1,0,0,8,CgcAAOUAQgA=
1714010736.7715702,0xcfff148,1,0,0,8,vgX/BLMDAP8=
1714010736.7815783,0xcfff248,1,0,0,8,PAawBwkA+QE=
1714010736.791592,0xcfff348,1,0,0,8,CAACAgkAKgA=
1714010736.8016226,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010736.8021638,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010736.811584,0xcfff048,1,0,0,8,bAcAAOUAQgA=
1714010736.8121493,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010736.8215785,0xcfff148,1,0,0,8,vgX8BLMDAP8=
1714010736.8315737,0xcfff548,1,0,0,8,qgU5AzwHAP8=
1714010736.86157,0xcfff048,1,0,0,8,qwYAAOUAQgA=
1714010736.8715546,0xcfff148,1,0,0,8,vgX9BLMDAP8=
1714010736.8815455,0xcfff248,1,0,0,8,IwavBwkA+gE=
1714010736.8915558,0xcfff348,1,0,0,8,CQAAAgkAKAA=
1714010736.9015737,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010736.9021606,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010736.9115508,0xcfff048,1,0,0,8,UAcAAOUAQgA=
1714010736.9121368,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010736.9215481,0xcfff148,1,0,0,8,vgUBBbQDAP8=
1714010736.9615526,0xcfff048,1,0,0,8,nAYAAOUAewA=
1714010736.9715416,0xcfff148,1,0,0,8,vgX3BLMDAP8=
1714010736.981544,0xcfff248,1,0,0,8,HgavBwkA+QE=
1714010736.991558,0xcfff348,1,0,0,8,CAAAAgkAKgA=
1714010737.0015569,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.002148,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.0115466,0xcfff048,1,0,0,8,VQcAAOUAewA=
1714010737.012118,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.0215342,0xcfff148,1,0,0,8,vgUIBbMDAP8=
1714010737.0615635,0xcfff048,1,0,0,8,MQcAAOYAewA=
1714010737.0715256,0xcfff148,1,0,0,8,vgUDBbMDAP8=
1714010737.0815253,0xcfff248,1,0,0,8,9wWxBwkA+gE=
1714010737.091533,0xcfff348,1,0,0,8,BwD9AQkAKAA=
1714010737.1015399,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.1021283,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.1128895,0xcfff048,1,0,0,8,bwcAAOUAigA=
1714010737.1134713,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.1215417,0xcfff148,1,0,0,8,vgXxBLMDAP8=
1714010737.161538,0xcfff048,1,0,0,8,XQcAAOUAigA=
1714010737.1715198,0xcfff148,1,0,0,8,vgXhBLMDAP8=
1714010737.181501,0xcfff248,1,0,0,8,SAavBwkA+QE=
1714010737.1915154,0xcfff348,1,0,0,8,BwACAggAKAA=
1714010737.2015321,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.202119,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.211536,0xcfff048,1,0,0,8,VAcAAOYAigA=
1714010737.2121122,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.2215147,0xcfff148,1,0,0,8,vgXfBLMDAP8=
1714010737.2615597,0xcfff048,1,0,0,8,MAcAAOUAigA=
1714010737.2715256,0xcfff148,1,0,0,8,vgXtBLMDAP8=
1714010737.281532,0xcfff248,1,0,0,8,IQawBwkA+wE=
1714010737.2915304,0xcfff348,1,0,0,8,BwAAAgkAKgA=
1714010737.3029006,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.3034692,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.3115182,0xcfff048,1,0,0,8,eAcAAOUAiAA=
1714010737.3120868,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.3215053,0xcfff148,1,0,0,8,vgX5BLMDAP8=
1714010737.3615043,0xcfff048,1,0,0,8,gwcAAOUAiAA=
1714010737.37149,0xcfff148,1,0,0,8,vgX4BLMDAP8=
1714010737.3814971,0xcfff248,1,0,0,8,/wWxBwkA+gE=
1714010737.3914914,0xcfff348,1,0,0,8,CQD+AQkAKgA=
1714010737.4015224,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.402106,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.4115086,0xcfff048,1,0,0,8,9wYAAOUAiAA=
1714010737.412084,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.421494,0xcfff148,1,0,0,8,vgXoBLMDAP8=
1714010737.4614959,0xcfff048,1,0,0,8,BQgAAOYAQwA=
1714010737.4714916,0xcfff148,1,0,0,8,vgXbBLMDAP8=
1714010737.4814954,0xcfff248,1,0,0,8,MwaxBwkA+gE=
1714010737.4915237,0xcfff348,1,0,0,8,BwABAgkAKAA=
1714010737.5015054,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.5020893,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.5115006,0xcfff048,1,0,0,8,fAcAAOUAQwA=
1714010737.5120802,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.5215833,0xcfff148,1,0,0,8,vgXoBLMDAP8=
1714010737.5614793,0xcfff048,1,0,0,8,qQcAAOUAQwA=
1714010737.5714812,0xcfff148,1,0,0,8,vgXxBLMDAP8=
1714010737.5814714,0xcfff248,1,0,0,8,AAawBwkA+gE=
1714010737.5915096,0xcfff348,1,0,0,8,CAD+AQgAKgA=
1714010737.6014996,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.6020744,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.6114888,0xcfff048,1,0,0,8,KwcAAOUAQwA=
1714010737.6120574,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.6214874,0xcfff148,1,0,0,8,vgX1BLMDAP8=
1714010737.661485,0xcfff048,1,0,0,8,gAcAAOUAjgA=
1714010737.6714725,0xcfff148,1,0,0,8,vgXvBLMDAP8=
1714010737.6821802,0xcfff248,1,0,0,8,7wWxBwkA+wE=
1714010737.691466,0xcfff348,1,0,0,8,CAD/AQkAKgA=
1714010737.7014885,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.7020657,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.7114697,0xcfff048,1,0,0,8,/wYAAOUAjgA=
1714010737.7120533,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.7215009,0xcfff148,1,0,0,8,vgXrBLMDAP8=
1714010737.76146,0xcfff048,1,0,0,8,pgcAAOUAjgA=
1714010737.7714508,0xcfff148,1,0,0,8,vgX1BLMDAP8=
1714010737.7814512,0xcfff248,1,0,0,8,5gWxBwkA/AE=
1714010737.791456,0xcfff348,1,0,0,8,BwD+AQkAKgA=
1714010737.8014762,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.802061,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.8127236,0xcfff048,1,0,0,8,4gYAAOUAbQA=
1714010737.8132956,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.821449,0xcfff148,1,0,0,8,vgXgBLMDAP8=
1714010737.8314362,0xcfff548,1,0,0,8,qgU5AzwHAP8=
1714010737.8614526,0xcfff048,1,0,0,8,ZAcAAOUAbQA=
1714010737.8714578,0xcfff148,1,0,0,8,vgXwBLMDAP8=
1714010737.8814363,0xcfff248,1,0,0,8,BAawBwkA+gE=
1714010737.8914862,0xcfff348,1,0,0,8,BwABAgkAKAA=
1714010737.9014869,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010737.9020426,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010737.9114504,0xcfff048,1,0,0,8,5AYAAOYAbQA=
1714010737.9120293,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010737.9214585,0xcfff148,1,0,0,8,vgXgBLMDAP8=
1714010737.9614344,0xcfff048,1,0,0,8,ywYAAOUAbQA=
1714010737.971432,0xcfff148,1,0,0,8,vgXsBLMDAP8=
1714010737.9814262,0xcfff248,1,0,0,8,JgawBwkA/AE=
1714010737.9914412,0xcfff348,1,0,0,8,BwD/AQkAKgA=
1714010738.0014486,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010738.0020337,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010738.0114293,0xcfff048,1,0,0,8,MQcAAOYAlgA=
1714010738.012011,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010738.0214303,0xcfff148,1,0,0,8,vgXvBLMDAP8=
1714010738.0614328,0xcfff048,1,0,0,8,xwYAAOUAlgA=
1714010738.0714154,0xcfff148,1,0,0,8,vgXvBLMDAP8=
1714010738.0814195,0xcfff248,1,0,0,8,4gWvBwkA/AE=
1714010738.0914242,0xcfff348,1,0,0,8,CAD/AQkAKgA=
1714010738.1014276,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010738.1020162,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010738.112334,0xcfff048,1,0,0,8,+wYAAOUAlgA=
1714010738.1129391,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010738.1214275,0xcfff148,1,0,0,8,vgX4BLMDAP8=
1714010738.161415,0xcfff048,1,0,0,8,lwYAAOUAlgA=
1714010738.171403,0xcfff148,1,0,0,8,vgUBBbMDAP8=
1714010738.181405,0xcfff248,1,0,0,8,1gWwBwkA+QE=
1714010738.1914122,0xcfff348,1,0,0,8,CAD/AQkAKgA=
1714010738.201432,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1714010738.202021,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1714010738.211402,0xcfff048,1,0,0,8,hgYAAOUA7wA=
1714010738.211986,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1714010738.2213972,0xcfff148,1,0,0,8,vgUZBbMDAP8=
1714010738.2614188,0xcfff048,1,0,0,8,DAcAAOYA7wA=
1714010738.271397,0xcfff148,1,0,0,8,vgUABbMDAP8=
1714010738.2813842,0xcfff248,1,0,0,8,nQWuBwkA+AE=
1714010738.291398,0xcfff348,1,0,0,8,CAD/AQkAKgA=
1714010738.3014042,0xcfff448,1,0,0,8,AAAAAAEBAAA=
1714010738.3019917,0xcfffb48,1,0,0,8,GQAAAAAAAAA=
1714010738.3113904,0xcfff048,1,0,0,8,aAYAAOYA7wA=
1714010738.3119729,0xcfffc48,1,0,0,8,MgAAAAAAAAA=
1714010738.3213897,0xcfff148,1,0,0,8,vgUJBbMDAP8=
1714010738.3614094,0xcfff048,1,0,0,8,wwcAAOYAlgA=
1714010738.3714037,0xcfff148,1,0,0,8,vgX7BLIDAP8=
1714010738.3819323,0xcfff248,1,0,0,8,HAaqBwkA/AE=
1714010738.3914003,0xcfff348,1,0,0,8,BwAAAgkAKgA=
1714010738.4014041,0xcfff448,1,0,0,8,AAAAAA8BAAA=
1714010738.4019763,0xcfffb48,1,0,0,8,GwAAAAAAAAA=
1714010738.41141,0xcfff048,1,0,0,8,NwcAAOYAOQA=
1714010738.4119701,0xcfffc48,1,0,0,8,GwAAAAAAAAA=
